order_index "Customer coordinate" "order time" "1st restaurant" "Duration restaurant 1" "Distance restaurant 1" "Route_cost 1" "2nd restaurant" "Duration restaurant 2" "Distance restaurant 2" "Route_cost 2" "3rd restaurant" "Duration restaurant 3" "Distance restaurant 3" "Route_cost 3" "Pizza order amount" "production time restaurant 1" "production time restaurant 2" "production time restaurant 3" "capacity restaurant 1" "capacity restaurant 2" "capacity restaurant 3" "Actual production time 1" "Actual production time 2" "Actual production time 3" "vehicle type 1" "vehicle type 2" "vehicle type 3" "total vehicle cost 1" "total vehicle cost 2" "total vehicle cost 3" "Total cost restaurant 1" "Total cost restaurant 2" "Total cost restaurant 3"
483 349 18:57:59 3 11.62 3658 1840.62 7 10.17 3296 1658.17 8 13.03 4174 2100.03 2 13 12 13 2 2 1 12.0 13.0 26.0 0 0 0 1.6903466666666667 1.9109166666666666 2.2665966666666666 -0.1837259284059795 0.07046493597475953 0.16453722766855913
489 7600 18:58:57 13 6.03 1890 951.03 7 12.97 4038 2031.97 0 11.65 3156 1589.65 4 6 12 12 11 2 1 6.0 48.0 24.0 0 0 0 1.05573 1.8165233333333335 2.2690800000000007 -0.39851839428697466 0.1398775359198864 0.6506188045860944
493 1096 18:59:26 1 8.82 2961 1489.32 11 7.53 2607 1311.03 15 6.7 2080 1046.7 1 8 14 10 5 2 5 10.0 14.0 8.0 0 0 0 1.1523 1.4536833333333332 1.54131 -0.6898604725929658 -0.5245472261352113 -0.3665018904446421
495 1945 18:59:43 6 8.43 2770 1393.43 16 6.4 2015 1013.9 5 5.47 1666 838.47 1 9 10 6 5 11 10 6.0 10.0 9.0 0 0 0 0.9424133333333333 1.22323 1.38604 -0.7543286834642371 -0.5749303877542367 -0.5183706275066811
503 5697 19:00:40 4 3.98 1876 941.98 13 10.8 3604 1812.8 0 22.23 6679 3361.73 1 12 6 12 3 11 1 12.0 6.0 12.0 0 0 0 1.0529333333333333 1.6743733333333335 2.594376666666667 -0.5081665716356282 -0.30760479181186284 0.20677588286663673
510 8760 19:01:19 7 8.0 2537 1276.5 2 13.37 3935 1980.87 13 11.42 3751 1886.92 2 12 7 6 2 5 11 12.0 6.0 7.0 0 0 0 1.36131 1.9110966666666669 2.2973066666666666 -0.21409417779832182 -0.2017399051768655 -0.15665777294235636
556 10653 19:06:54 15 1.83 527 265.33 11 11.45 4388 2205.45 14 9.85 3765 1892.35 3 10 14 10 5 2 1 10.0 30.0 21.0 0 0 0 0.5491066666666666 1.7315899999999997 1.9899500000000003 -0.9125692989112698 -0.12610575984624162 0.08680681664646211
560 10158 19:07:12 1 10.23 3505 1762.73 11 7.85 2343 1179.35 9 7.0 2211 1112.5 1 8 14 12 5 2 3 12.0 14.0 8.0 0 0 0 1.0087066666666666 1.4092533333333332 1.5753766666666666 -0.634461178336339 -0.5415183510515724 -0.45577977799704017
571 3771 19:08:09 14 11.73 5739 2881.23 10 19.58 7527 3783.08 9 12.88 4631 2328.38 2 10 9 12 1 12 3 12.0 20.0 9.0 0 0 0 2.11096 2.2859033333333336 2.6051866666666665 0.19108707706936048 0.3814785660790435 0.4594515741226499
583 9680 19:09:05 10 6.47 2148 1080.47 12 3.98 1341 674.48 8 9.57 3174 1596.57 3 9 13 13 12 1 1 39.0 9.0 39.0 0 0 0 0.6450433333333333 1.1708066666666666 1.37181 -0.605171951539756 -0.10231222506486837 -0.045985032991793795
613 229 19:13:06 10 11.55 3682 1852.55 12 5.4 1585 797.9 8 9.55 3109 1564.05 3 9 13 13 12 1 1 39.0 39.0 9.0 0 0 0 0.85179 1.6271566666666666 1.77226 -0.2663754299527721 0.07803386188295558 0.2538185855214963
614 1812 19:13:35 14 6.65 1909 961.15 9 15.83 6008 3019.83 15 15.35 5424 2727.35 2 10 12 10 1 3 5 20.0 10.0 12.0 0 0 0 1.2213700000000003 2.6753133333333334 2.5032566666666667 -0.15483969878211895 0.046547090369058644 0.34204550665269556
615 3426 19:13:37 6 7.22 2558 1286.22 1 7.4 2247 1130.9 11 3.55 921 464.05 4 9 8 14 5 5 2 28.0 8.0 9.0 0 0 0 0.5633833333333333 1.1910333333333334 1.2441133333333334 -0.8604904485539364 -0.7622314637985035 -0.444035063362054
616 8848 19:14:02 7 12.98 4166 2095.98 3 8.8 3051 1534.3 8 8.07 3449 1732.57 6 12 13 13 2 2 1 39.0 78.0 36.0 1 1 1 2.453323333333333 2.47754 2.9977633333333333 0.8398605619890982 1.294044056907067 1.7148285860796415
620 9416 19:14:21 15 9.43 3242 1630.43 1 6.75 2586 1299.75 11 4.12 1359 683.62 1 10 8 14 5 5 2 14.0 8.0 10.0 0 0 0 0.7769199999999999 1.3013533333333334 1.32578 -0.7322303673612444 -0.7163287148857048 -0.6654625018376925
