order_index Customer_coordinate 1st_restaurant Duration_restaurant1 Distance_restaurant_1 Route_cost_1 2nd_restaurant Duration_restaurant_2 Distance_restaurant_2 Route_cost_2 3rd_restaurant Duration_restaurant_3 Distance_restaurant_3 Route_cost_3 Pizza_order_amount production_time_restaurant_1 production_time_restaurant_2 production_time_restaurant_3 capacity_restaurant_1 capacity_restaurant_2 capacity_restaurant_3 Actual_production_time_1 Actual_production_time_2 Actual_production_time_3 vehicle_type_1 vehicle_type_2 vehicle_type_3 total_vehicle_cost_1 total_vehicle_cost_2 total_vehicle_cost_3 Total_cost_restaurant_1 Total_cost_restaurant_2 Total_cost_restaurant_3
35 422 1997 2 8.07 2489 1252.57 0 7.7 2144 1079.7 13 6.52 2020 1016.52 2 7 12 6 5 1 11 6.0 24.0 7.0 0 0 0 1.2963666666666667 1.11056 1.45188 -0.6263621650889579 -0.2874284271086195 -0.1818325644553896
36 435 7313 1 8.05 2883 1449.55 9 8.0 2810 1413.0 11 5.67 1721 866.17 5 8 12 14 5 3 2 35.0 20.0 8.0 1 1 1 1.4653166666666666 1.72211 2.002186666666667 -0.4212617790243222 -0.11844238281515344 0.4180284738269853
37 452 8371 9 6.9 2221 1117.4 15 11.9 4099 2061.4 11 10.53 3652 1836.53 2 12 10 14 3 5 2 12.0 14.0 10.0 0 0 0 1.02502 1.9021033333333333 1.8473866666666667 -0.33911850952535594 -0.31526420429124946 -0.168534671364091
38 457 7904 14 8.12 2588 1302.12 15 15.7 5525 2778.2 9 13.03 4889 2457.53 1 10 10 12 1 5 3 10.0 12.0 10.0 0 0 0 1.4034466666666665 2.0526133333333334 2.2368699999999997 -0.25257013535662753 -0.08709298712356867 -0.07812681381621109
39 472 5352 1 7.85 2762 1388.85 9 9.27 2941 1479.77 11 5.47 1600 805.47 3 8 12 14 5 3 2 21.0 8.0 12.0 0 0 0 0.7989633333333334 1.16342 1.3761166666666669 -0.5859419187855666 -0.5435086319843536 -0.2556058498457511
40 476 5430 9 11.62 3741 1882.12 10 13.92 4821 2424.42 12 14.33 5446 2737.33 4 12 9 13 3 12 1 16.0 9.0 52.0 0 0 0 1.8801466666666666 2.6437133333333334 2.6839733333333333 0.2652767828533053 0.2917281994581979 1.0276068729836436
41 480 1175 15 6.3 2302 1157.3 9 12.08 3807 1915.58 11 11.85 3963 1993.35 4 10 12 14 5 3 2 10.0 16.0 28.0 0 0 0 0.8662666666666667 2.00344 2.1471799999999996 -0.4242162317095309 -0.01622916591408539 0.17457842496900197
42 483 349 3 11.62 3658 1840.62 7 10.17 3296 1658.17 8 13.03 4174 2100.03 2 13 12 13 2 2 1 12.0 13.0 26.0 0 0 0 1.6903466666666667 1.9109166666666666 2.2665966666666666 -0.16305490927494481 0.007960621437068799 0.16239383779498096
43 489 7600 13 6.03 1890 951.03 7 12.97 4038 2031.97 0 11.65 3156 1589.65 4 6 12 12 11 2 1 6.0 48.0 24.0 0 0 0 1.05573 1.8165233333333335 2.2690800000000007 -0.2981649182564624 0.1372497257480738 0.6914476358016342
44 493 1096 1 8.82 2961 1489.32 11 7.53 2607 1311.03 15 6.7 2080 1046.7 1 8 14 10 5 2 5 10.0 14.0 8.0 0 0 0 1.1523 1.4536833333333332 1.54131 -0.5505232248670753 -0.4062334679819444 -0.2909305823924443
