 order_index Customer_coordinate 1st_restaurant Duration_restaurant_1 Distance_restaurant_1 Route_cost_1 2nd_restaurant Duration_restaurant_2 Distance_restaurant_2 Route_cost_2 3rd_restaurant Duration_restaurant_3 Distance_restaurant_3 Route_cost_3 Pizza_order_amount production_time_restaurant_1 production_time_restaurant_2 production_time_restaurant_3 capacity_restaurant_1 capacity_restaurant_2 capacity_restaurant_3 Actual_production_time_1 Actual_production_time_2 Actual_production_time_3 vehicle_type_1 Min _vehicle_cost_1 vehicle_type_2 Min_vehicle_cost_2 vehicle_type_3 Min_vehicle_cost_3 Total_cost_restaurant_1 Total_cost_restaurant_2 Total_cost_restaurant_3
190 1888 3785 1 4.43 1241 886.5 16 6.8 2012 1414.0 11 7.08 2473 1661.5 2 8 10 14 5 11 2 16.0 20.0 14.0 2 1000.8270833333332 2 1001.2963333333333 2 1001.4115833333333 1696.1616666666669 2227.2370666666666 2470.029266666667
191 1891 5763 14 3.33 1295 847.5 15 11.23 5491 3419.5 9 18.68 7360 4801.0 1 10 10 12 1 5 3 10.0 10.0 12.0 2 1000.71225 2 1002.6829166666665 2 1003.1501666666667 1653.2698 4227.646333333333 5610.120133333334
192 1896 3743 6 5.08 1688 1149.0 11 7.57 2554 1731.0 0 10.27 3297 2264.5 7 9 14 12 5 2 1 12.6 49.0 84.0 3 20001.69066666667 3 20002.538666666664 3 20002.910166666665 17157.652533333334 17757.930933333333 18309.028133333333
193 1902 7858 4 4.08 1844 1167.0 13 13.28 4288 2941.0 7 22.42 7430 5060.0 2 12 6 12 3 11 2 24.0 12.0 12.0 2 1000.937 2 1002.6213333333334 2 1003.4068333333333 1980.3496 3751.297066666666 5869.125466666666
194 1923 3765 8 1.93 586 409.0 3 4.28 1269 891.5 12 5.95 1979 1346.5 3 13 13 13 1 2 1 39.0 19.5 39.0 2 1000.3716666666667 2 1000.8165833333333 2 1000.9940833333333 1228.9973333333335 1702.3032666666668 2166.995266666667
195 1931 7121 13 8.43 2558 1785.0 0 11.65 3229 2313.5 6 10.4 3877 2562.5 4 6 12 9 11 1 5 24.0 48.0 36.0 2 1001.623 2 1002.1664166666666 2 1002.3284166666666 2600.4984000000004 3139.433133333333 3383.362733333333
196 1938 11267 12 3.93 1259 865.5 10 8.68 2756 1899.0 8 9.52 3153 2147.5 3 13 9 13 1 12 1 39.0 27.0 39.0 2 1000.77325 2 1001.7016666666666 2 1001.8009166666666 1685.8186 2716.261333333333 2968.640733333333
197 1939 5341 7 5.67 1629 1154.5 3 8.72 2616 1831.0 8 10.13 3132 2174.0 2 12 13 13 2 2 1 12.0 13.0 26.0 2 1001.06875 2 1001.6713333333333 2 1001.8003333333335 1961.755 2639.2370666666666 2988.6402666666663
198 1950 3175 9 2.92 772 561.0 11 11.25 3863 2606.5 1 13.63 5025 3330.5 2 12 14 8 3 2 5 24.0 14.0 16.0 2 1000.5336666666667 2 1002.27825 2 1002.56875 1374.0269333333335 3415.7226 4141.555
199 1953 2247 7 4.48 1294 916.0 2 5.92 1938 1324.0 13 8.68 2897 1969.5 1 12 7 6 2 5 11 12.0 7.0 6.0 2 1000.8461666666666 2 1001.1751666666668 2 1001.4149166666666 1723.076933333333 2129.440133333333 2775.831933333333
