order_index "Customer coordinate" "1st restaurant" "Duration restaurant 1" "Distance restaurant 1" "Route_cost 1" "2nd restaurant" "Duration restaurant 2" "Distance restaurant 2" "Route_cost 2" "3rd restaurant" "Duration restaurant 3" "Distance restaurant 3" "Route_cost 3" "Pizza order amount" "production time restaurant 1" "production time restaurant 2" "production time restaurant 3" "capacity restaurant 1" "capacity restaurant 2" "capacity restaurant 3" "vehicle type 1" "Min vehicle cost 1" "vehicle type 2" "Min vehicle cost 2" "vehicle type 3" "Min vehicle cost 3" "Total cost restaurant 1" "Total cost restaurant 2" "Total cost restaurant 3"
886 6437 16 596 3314 2253.0 12 692 3857 2620.5 3 571 4329 2735.5 5 10 13 13 11 1 2 2 1070.3618333333334 2 1081.6975833333333 2 1081.8155833333333 5520.0855 5871.89275 5992.24675
887 7702 1 523 2433 1739.5 6 601 2900 2051.0 12 573 2961 2053.5 1 8 9 13 5 5 1 2 1061.6249166666666 2 1070.8416666666667 2 1070.8569166666668 4950.17475 5289.425 5272.370750000001
895 2641 8 503 2480 1743.0 13 861 4902 3312.0 9 931 5475 3668.5 2 13 6 12 1 11 3 2 1059.3033333333333 2 1101.6755 2 1101.8187500000001 4927.21 6672.6265 6990.15625
912 6231 14 508 2782 1899.0 13 541 3218 2150.0 8 588 3608 2392.0 5 10 6 13 1 11 1 2 1059.9621666666667 2 1063.9211666666667 2 1064.0186666666668 5084.8865000000005 5397.3634999999995 5590.356000000001
913 9729 7 110 576 398.0 11 233 1494 980.0 2 285 1575 1072.5 9 12 14 7 2 2 5 3 20018.621333333333 3 20039.58033333333 3 20039.62083333333 60465.064 61110.140999999996 61217.062499999985
918 6810 8 622 3424 2334.0 9 896 5406 3599.0 11 910 5438 3629.0 3 13 12 14 1 3 2 2 1073.4226666666666 2 1105.8848333333333 2 1105.8928333333333 5560.568 6932.8544999999995 6958.0785
966 8289 3 292 2319 1451.5 12 678 4380 2868.0 16 784 4890 3229.0 2 13 13 10 2 1 11 2 1034.6464166666667 2 1080.195 2 1080.3225 4566.7392500000005 6114.885 6525.9675
967 3339 1 564 2600 1864.0 6 560 2733 1926.5 12 532 2794 1929.0 1 8 9 13 5 5 1 2 1066.45 2 1066.0165833333333 2 1066.0318333333332 5089.150000000001 5150.44975 5133.3955
975 4737 8 801 5074 3338.0 13 855 6987 4348.5 9 1188 7434 4905.0 3 13 6 12 1 11 3 2 1094.7185 2 1101.49675 2 1101.6085 6628.4555 7708.59025 8226.0255
997 7118 10 68 336 236.0 0 397 2210 1502.0 5 622 3344 2294.0 1 9 12 6 12 1 10 2 1008.0173333333332 2 1046.8691666666666 2 1047.1526666666666 3320.9519999999998 4648.8075 5486.057999999999
1006 6792 7 90 445 312.5 2 265 1444 987.0 11 313 1905 1265.5 1 12 7 14 2 5 2 2 1010.61125 2 1031.2776666666668 2 1031.3929166666667 3355.53375 4106.533 4371.078750000001
1009 9981 5 231 1128 795.0 1 414 2036 1432.0 4 596 3447 2319.5 1 6 8 12 10 5 3 2 1027.232 2 1048.809 2 1049.16175 3927.296 4604.227 5483.1852499999995
1018 6085 14 430 2232 1546.0 8 473 2815 1880.5 10 710 3961 2690.5 1 10 13 9 1 1 12 2 1050.7246666666667 2 1055.8870833333333 2 1056.1735833333335 4704.174 5054.46125 5919.920750000001
